"Game","ReleaseDate","Genre","TotalEarnings","OnlineEarnings","TotalPlayers","TotalTournaments"
"Age of Empires","1997","Strategy",190075.61,33235.72,246,95
"Age of Empires II","1999","Strategy",1425482.01,808422.14,811,513
"Age of Empires III","2005","Strategy",66463.85,24963.85,86,72
"Age of Empires Online","2011","Strategy",1800,1800,11,5
"Age of Mythology","2002","Strategy",52360,360,22,6
"Auto Chess","2019","Strategy",1076322.28,40800,72,6
"Brawl Stars","2018","Strategy",94950,8700,51,10
"Chess.com","2007","Strategy",735990.96,735990.96,542,139
"chess24","2014","Strategy",634696.09,634696.09,55,7
"Clash of Clans","2012","Strategy",751576.87,0,77,3
"Clash Royale","2016","Strategy",2293020.39,65109.29,222,39
"Command & Conquer 3","2007","Strategy",53086.67,0,9,8
"Company of Heroes 2","2013","Strategy",8561.22,605,11,6
"ComPet","2016","Strategy",2000,2000,50,1
"Dota Underlords","2019","Strategy",26024.18,26024.18,62,36
"Endgods","2015","Strategy",0,0,0,0
"Farming Simulator 19","2018","Strategy",158361.3,38915.49,84,12
"Grey Goo","2015","Strategy",36400,6000,18,5
"Lichess","2010","Strategy",404525,404525,72,51
"osu!","2007","Strategy",23100,23100,971,7
"Playchess.com","2002","Strategy",25136.16,25136.16,87,7
"Pokémon VGC","2017","Strategy",211500,0,170,24
"Prophecy","2020","Strategy",13000,13000,27,4
"Rise of Nations: Rise of Legends","2006","Strategy",69600,0,8,1
"Sea of Thieves","2016","Strategy",0,0,0,0
"StarCraft II","2010","Strategy",33322573.08,4635613.75,2064,5871
"StarCraft: Brood War","1998","Strategy",8251181.43,320362.11,674,571
"Super Mario Party","2018","Strategy",220,0,4,1
"Supreme Commander","2007","Strategy",4901.26,0,0,1
"Supreme Commander: Forged Alliance","2007","Strategy",1290.01,0,0,1
"Teamfight Tactics","2019","Strategy",604313.65,369063.65,143,13
"TEPPEN","2019","Strategy",456721.47,0,12,1
"UNO","2016","Strategy",20000,20000,16,2
"WarCraft III","2002","Strategy",5811479.73,772608.87,558,1335
"WarCraft III: Reforged","2020","Strategy",89667.43,64667.43,55,50
"Warhammer 40,000: Dawn of War","2005","Strategy",79816.5,0,7,3
"Warhammer 40,000: Dawn of War II","2009","Strategy",0,0,0,0
"Warparty","2019","Strategy",1000,1000,4,1
"Windjammers","1994","Strategy",4132.16,0,31,10
"World in Conflict","2007","Strategy",293338.23,0,38,11
"World of Tanks","2010","Strategy",3656496.59,58464.87,403,50
"World of Tanks Blitz","2016","Strategy",63330,3330,14,6
"Aliens versus Predator 2","2001","First-Person Shooter",40000,0,1,1
"Battalion 1944","2018","First-Person Shooter",185654.67,55790.79,114,21
"Battlefield 1","2016","First-Person Shooter",0,0,0,0
"Battlefield 2","2005","First-Person Shooter",91715.22,0,0,12
"Battlefield 2142","2006","First-Person Shooter",18546.14,0,0,4
"Battlefield 3","2011","First-Person Shooter",25407.46,0,5,7
"Battlefield 4","2013","First-Person Shooter",245766.46,33226.15,204,145
"Battlefield 5","2018","First-Person Shooter",0,0,0,0
"Battlefield Hardline","2015","First-Person Shooter",13463.28,0,20,1
"Big Buck Hunter Arcade","2016","First-Person Shooter",76200,0,3,1
"Black Squad","2017","First-Person Shooter",8480.72,8480.72,57,17
"Borderlands 3","2019","First-Person Shooter",0,0,0,0
"Call of Duty","2003","First-Person Shooter",50629.77,0,51,3
"Call of Duty 2","2005","First-Person Shooter",66828.51,5953.8,41,17
"Call of Duty 4: Modern Warfare","2007","First-Person Shooter",420331.47,32402.16,422,86
"Call of Duty: Advanced Warfare","2014","First-Person Shooter",2608808.93,344172.79,784,404
"Call of Duty: Black Ops","2010","First-Person Shooter",375793.48,28824.3,118,23
"Call of Duty: Black Ops 2","2012","First-Person Shooter",1467139.25,37067.62,184,53
"Call of Duty: Black Ops 4","2018","First-Person Shooter",7264452,321377,437,81
"Call of Duty: Black Ops III","2015","First-Person Shooter",3939783.29,156706.27,420,78
"Call of Duty: Ghosts","2013","First-Person Shooter",1594185.25,89712.36,199,76
"Call of Duty: Infinite Warfare","2016","First-Person Shooter",4156205.06,106350,341,80
"Call of Duty: Mobile","2019","First-Person Shooter",0,0,0,0
"Call of Duty: Modern Warfare","2019","First-Person Shooter",1737284.5,1093722,245,37
"Call of Duty: Modern Warfare 2","2009","First-Person Shooter",112860.64,61850,59,18
"Call of Duty: Modern Warfare 3","2011","First-Person Shooter",1160815.66,15860,209,45
"Call of Duty: Warzone","2020","First-Person Shooter",1116163.37,1116163.37,327,52
"Call of Duty: World War II","2017","First-Person Shooter",4559271,60666,266,64
"Counter-Strike","2000","First-Person Shooter",13492961.87,713229.74,4137,994
"Counter-Strike Online","2016","First-Person Shooter",406989.6,0,70,12
"Counter-Strike: Condition Zero","2004","First-Person Shooter",162150.6,0,111,3
"Counter-Strike: Global Offensive","2012","First-Person Shooter",99258929.93,23854990.09,12947,5109
"Counter-Strike: Source","2004","First-Person Shooter",3115972.29,240456.26,1499,333
"Critical Ops","2015","First-Person Shooter",12606.41,10106.41,4,3
"CrossFire","2007","First-Person Shooter",6448845.02,572535.79,629,306
"Crysis","2007","First-Person Shooter",11340.95,0,0,2
"Day of Defeat","2003","First-Person Shooter",50300,0,37,3
"Day of Defeat: Source","2005","First-Person Shooter",14068.57,3782.1,50,8
"Descent 3","1999","First-Person Shooter",50000,0,1,1
"Diabotical","2020","First-Person Shooter",5535.93,5535.93,46,13
"Doom (2016)","2016","First-Person Shooter",7000,0,6,1
"Doom 3","2004","First-Person Shooter",257748.16,0,14,4
"Doom II: Hell on Earth","1994","First-Person Shooter",1000,0,1,2
"Echo Arena","2017","First-Person Shooter",0,0,0,0
"Enemy Territory: Quake Wars","2007","First-Person Shooter",60923.12,0,27,4
"Escape from Tarkov","2020","First-Person Shooter",54600,54600,3,2
"Evolve","2015","First-Person Shooter",131509.05,5454.95,110,33
"F.E.A.R.","2005","First-Person Shooter",178000,0,20,5
"Ghost Recon Advanced Warfighter","2006","First-Person Shooter",24000,0,0,2
"Gray Basin","2015","First-Person Shooter",0,0,0,0
"Gundam Versus","2017","First-Person Shooter",280,0,6,1
"Guns of Boom","2017","First-Person Shooter",198750,8750,8,21
"Halo 2","2004","First-Person Shooter",1489362.47,0,119,71
"Halo 2 Anniversary","2014","First-Person Shooter",468705.05,0,97,20
"Halo 3","2007","First-Person Shooter",2158079.4,6600,210,41
"Halo 4","2012","First-Person Shooter",430748.76,2250,66,19
"Halo 5: Guardians","2015","First-Person Shooter",7071480.97,288800,233,75
"Halo: Combat Evolved","2001","First-Person Shooter",299281,0,114,39
"Halo: Infinite","2020","First-Person Shooter",0,0,0,0
"Halo: Reach","2010","First-Person Shooter",822089.97,60000,101,29
"Ironsight","2018","First-Person Shooter",0,0,0,0
"Islands of Nyne","2017","First-Person Shooter",0,0,0,0
"MechWarrior Online","2013","First-Person Shooter",143490,0,0,1
"Metal Gear Online","2008","First-Person Shooter",8000,8000,37,8
"Overwatch","2016","First-Person Shooter",22049333.28,3822852.83,3494,740
"Painkiller","2004","First-Person Shooter",1015000,0,48,13
"Paladins","2015","First-Person Shooter",1758657.43,267657.43,300,38
"Point Blank","2008","First-Person Shooter",699167.75,109269.6,297,32
"Quake 4","2005","First-Person Shooter",556678.51,1890,100,52
"Quake Champions","2017","First-Person Shooter",2245908.25,125241.13,210,198
"Quake II","1997","First-Person Shooter",140179.5,379.5,32,10
"Quake III Arena","1999","First-Person Shooter",1137832.19,6569.58,243,100
"Quake Live","2010","First-Person Shooter",682294.04,82321.11,213,410
"QuakeWorld","1996","First-Person Shooter",99083.7,1078.26,47,14
"Rage","2011","First-Person Shooter",5000,0,3,1
"Rainbow Six Siege","2015","First-Person Shooter",12159469.7,2172256.57,1527,226
"Rainbow Six: Vegas","2006","First-Person Shooter",176400.77,0,137,7
"Rainbow Six: Vegas 2","2008","First-Person Shooter",79000,0,0,8
"Realm Royale","2018","First-Person Shooter",263000,263000,47,9
"Reflex","2015","First-Person Shooter",2158.4,1994.74,21,7
"Return to Castle Wolfenstein","2001","First-Person Shooter",67424.3,0,30,3
"S.K.I.L.L. - Special Force 2","2013","First-Person Shooter",132532.93,15977.12,82,21
"S.T.A.L.K.E.R.: Shadow of Chernobyl","2007","First-Person Shooter",4901.26,0,0,1
"Shadowrun","2007","First-Person Shooter",24000,0,0,3
"ShootMania Storm","2013","First-Person Shooter",261687.04,3400.54,80,40
"Special Force","2004","First-Person Shooter",130250,0,0,3
"Splatoon","2015","First-Person Shooter",1390,1390,3,4
"Splatoon 2","2017","First-Person Shooter",10055,300,13,7
"Star Wars Jedi Knight II: Jedi Outcast","2002","First-Person Shooter",7679.25,0,0,1
"Sudden Attack","2005","First-Person Shooter",0,0,0,0
"Team Fortress 2","2007","First-Person Shooter",715461.6,321654.4,1353,194
"Uncharted 4: A Thief's End","2016","First-Person Shooter",46235.07,0,5,1
"Unreal Tournament","1999","First-Person Shooter",89000,0,14,5
"Unreal Tournament (2016)","2016","First-Person Shooter",5084.97,5084.97,82,8
"Unreal Tournament 2003","2002","First-Person Shooter",147473.91,0,33,14
"Unreal Tournament 2004","2004","First-Person Shooter",133969.33,0,41,12
"Unreal Tournament 3","2007","First-Person Shooter",104977.82,0,7,4
"VALORANT","2020","First-Person Shooter",649751.95,647601.95,1055,146
"Warface","2013","First-Person Shooter",109555,0,32,2
"Warsow","2012","First-Person Shooter",183,183,2,1
"Wolfenstein: Enemy Territory","2003","First-Person Shooter",140963.24,2586.37,152,18
"Xonotic","2010","First-Person Shooter",2743.21,2743.21,123,20
"Zula","2015","First-Person Shooter",1e+05,0,20,1
"Arena of Valor","2015","Multiplayer Online Battle Arena",14556095.63,279000,536,49
"Battlerite","2016","Multiplayer Online Battle Arena",65173.45,37173.45,86,75
"Bloodline Champions","2011","Multiplayer Online Battle Arena",41905.32,1055.32,43,12
"Creative Destruction","2018","Multiplayer Online Battle Arena",1e+05,1e+05,8,1
"Defense of the Ancients","2003","Multiplayer Online Battle Arena",857420.65,27761.97,468,94
"Dofus","2004","Multiplayer Online Battle Arena",0,0,0,0
"Dota 2","2013","Multiplayer Online Battle Arena",225501326.46,11994638.14,3714,1402
"Heavy Metal Machines","2017","Multiplayer Online Battle Arena",12339.33,12339.33,35,1
"Heroes of Newerth","2010","Multiplayer Online Battle Arena",2915206.56,1362316.55,816,371
"Heroes of the Storm","2015","Multiplayer Online Battle Arena",18170133.73,3973717.78,1205,459
"League of Legends","2009","Multiplayer Online Battle Arena",76723629.59,6361037.53,7005,2445
"Legend of Glory","2015","Multiplayer Online Battle Arena",472.66,472.66,0,1
"Minecraft","2011","Multiplayer Online Battle Arena",84839.15,84839.15,22,11
"MOBA Legends","2016","Multiplayer Online Battle Arena",225,225,3,1
"Mobile Legends: Bang Bang","2016","Multiplayer Online Battle Arena",0,0,0,0
"Shards of War","2015","Multiplayer Online Battle Arena",1029.21,1029.21,20,1
"SMITE","2014","Multiplayer Online Battle Arena",8640112.75,767280.18,522,95
"Splitgate: Arena Warfare","2019","Multiplayer Online Battle Arena",50000,50000,64,2
"Teeworlds","2007","Multiplayer Online Battle Arena",0,0,0,0
"Vainglory","2014","Multiplayer Online Battle Arena",797421.19,100595.32,247,35
"Blade & Soul","2012","Role-Playing Game",409355.52,0,51,5
"Guild Wars 2","2012","Role-Playing Game",476005.5,126005.5,152,57
"Old School Runescape","2013","Role-Playing Game",422504.2,394004.2,66,22
"Red Stone","2004","Role-Playing Game",58000,0,12,2
"World of WarCraft","2004","Role-Playing Game",4957837.61,341948.7,413,118
"Acceleration of SUGURI 2","2018","Fighting Game",210,0,3,1
"Aquapazza: Aquaplus Dream Match","2011","Fighting Game",245,0,5,2
"Arcana Heart 3","2009","Fighting Game",1000,0,4,1
"Arcana Heart 3: Love Max Six Stars!!!!!","2014","Fighting Game",520,0,7,3
"Arcana Heart 3: LOVE MAX!!!!!","2013","Fighting Game",410,0,6,2
"ARMS","2017","Fighting Game",18198.09,4936.16,95,81
"Attack on Titan Tribute Game","2013","Fighting Game",1570513.53,1570513.53,99,75
"BlazBlue: Calamity Trigger","2008","Fighting Game",35,0,3,1
"BlazBlue: Central Fiction","2015","Fighting Game",78582.42,0,81,34
"BlazBlue: Chronophantasma","2012","Fighting Game",37020.58,0,63,15
"BlazBlue: Chronophantasma Extend","2015","Fighting Game",4918.77,0,28,11
"BlazBlue: Continuum Shift Extend","2011","Fighting Game",0,0,3,1
"BlazBlue: Continuum Shift II","2010","Fighting Game",24591.01,0,14,5
"BlazBlue: Cross Tag Battle","2018","Fighting Game",82800.03,0,89,31
"Brawlhalla","2015","Fighting Game",1164012.39,472012.09,502,389
"Brawlout","2017","Fighting Game",0,0,0,0
"Capcom vs. SNK","2000","Fighting Game",140,0,6,2
"Capcom vs. SNK 2","2001","Fighting Game",24186.79,0,36,19
"Chaos Code: New Sign of Catastrophe","2013","Fighting Game",140,0,3,1
"Dead or Alive 4","2005","Fighting Game",497745.31,0,45,13
"Dead or Alive 5","2012","Fighting Game",0,0,4,2
"Dead or Alive 5 Ultimate","2013","Fighting Game",0,0,37,7
"Dead or Alive 5: Last Round","2015","Fighting Game",8163.82,0,45,19
"Dead or Alive 6","2019","Fighting Game",63822.54,850,57,16
"Dead or Alive Ultimate","2004","Fighting Game",30000,0,3,1
"Dengeki Bunko: Fighting Climax","2014","Fighting Game",60,0,3,1
"Dengeki Bunko: Fighting Climax Ignition","2015","Fighting Game",2667.3,0,27,8
"Divekick","2013","Fighting Game",5840,0,27,11
"Dragon Ball FighterZ","2018","Fighting Game",337985.4,850,159,73
"Dragon Ball Z: Budokai 3","2004","Fighting Game",204.06,0,3,1
"Fantasy Strike","2019","Fighting Game",2610,0,8,1
"Fighter's History Dynamite","1994","Fighting Game",195,0,3,1
"Fighting EX Layer","2018","Fighting Game",1632.96,0,14,6
"Garou: Mark of the Wolves","1999","Fighting Game",513.71,0,10,3
"Guilty Gear","1998","Fighting Game",32,0,3,1
"Guilty Gear Xrd -REVELATOR-","2016","Fighting Game",36437.43,0,61,19
"Guilty Gear Xrd -SIGN-","2014","Fighting Game",37445.66,0,80,38
"Guilty Gear Xrd REV 2","2017","Fighting Game",116554.7,0,98,48
"Guilty Gear XX","2002","Fighting Game",0,0,5,2
"Guilty Gear XX #Reload","2003","Fighting Game",0,0,3,1
"Guilty Gear XX Accent Core","2007","Fighting Game",10365,0,33,4
"Guilty Gear XX Accent Core Plus","2008","Fighting Game",0,0,3,1
